timestamp,page,merchant,banks,price,min_limit,max_limit,available,orders,success_rate
2026-05-10 23:01:32,5,GusGus-777,"Mercantil, Provincial, BBVA, Bancamiga",657.399,1000001.0,14000000.0,2699.83,1479,99.3
2026-05-10 23:01:32,5,LuicmarTrader,"BNC Banco Nacional de Crédito, Provincial, BBVA",657.4,100000.0,10000000.0,1711.88,1608,99.9
2026-05-10 23:01:32,5,JR_cryptoxchange,Banesco,657.4,100000.0,439268.0,451.82,7671,100.0
2026-05-10 23:01:32,5,TokenSwift,Banesco,657.4,500000.0,1900000.0,1633.75,4390,99.6
2026-05-10 23:01:32,5,dt1306,"Provincial, Pago Movil, Mercantil, BNC Banco Nacional de Crédito, Bancaribe",657.4,50000.0,14000000.0,15371.95,2482,99.5
2026-05-10 23:01:32,5,chichiwilote,Banesco,657.4,500000.0,10000000.0,7407.19,6567,99.7
2026-05-10 23:01:32,5,davzotrading,"Banesco, Pago Movil",657.44,200000.0,1400000.0,1013.54,4477,98.8
2026-05-10 23:06:20,1,LATIGRACOIN老虎,"Mercantil, Provincial, BBVA",669.999,20000.0,10000000.0,8980.77,2233,99.6
2026-05-10 23:06:20,1,fundatrade,"Banesco, Mercantil, BNC Banco Nacional de Crédito",656.4,30000.0,10000000.0,57.43,2409,94.2
2026-05-10 23:06:20,1,Cambios-G,"Pago Movil, Banco del Tesoro",656.4,100000.0,3000000.0,1533.54,1754,100.0
2026-05-10 23:06:20,1,mandy02,"Banesco, Bank Transfer, Banco de Venezuela",656.45,100000.0,1010000.0,638.23,9961,96.3
2026-05-10 23:06:20,1,ImJustGirl,"Bank Transfer, Banco de Venezuela",656.543,999999.0,14000000.0,4966.86,3246,100.0
2026-05-10 23:06:20,1,Latinlf,Pago Movil,656.589,5000.0,10000000.0,141.86,4257,99.1
2026-05-10 23:06:20,1,Elqueyasabes,Provincial,656.6,100000.0,500000.0,393.68,4498,98.2
2026-05-10 23:06:20,1,Mahc012712,Provincial,656.7,200000.0,208700.0,320.0,134,100.0
2026-05-10 23:06:20,1,P2T___P2T,Bancamiga,656.798,400000.0,5258787.0,8014.0,1177,99.8
2026-05-10 23:06:20,1,Jyqz,"Mercantil, BNC Banco Nacional de Crédito",656.798,98000.0,1056000.0,502.26,6237,100.0
2026-05-10 23:06:20,1,In_God-I_trust,Bancamiga,656.799,3300000.0,39393790.0,35724.71,3409,99.9
2026-05-10 23:06:23,2,RJDtrades,Banesco,656.8,788160.0,790130.0,1203.0,1554,100.0
2026-05-10 23:06:23,2,hc investings ,"Mercantil, Pago Movil",656.89,300000.0,3000000.0,712.82,9439,99.1
2026-05-10 23:06:23,2,sanchez237,Bank Transfer,656.9,2525000.0,5000000.0,3855.62,4694,99.9
2026-05-10 23:06:23,2,OjrsTrade,Banesco,656.9,500000.0,5000000.0,2134.95,4192,99.7
2026-05-10 23:06:23,2,CriptoIntercambios1,Banco de Venezuela,656.944,500000.0,14000000.0,4437.1,7895,100.0
2026-05-10 23:06:23,2,Qwer77,Banesco,656.95,4000000.0,10000000.0,8963.89,2370,99.3
2026-05-10 23:06:23,2,Tachira2008,Provincial,656.97,500000.0,5000000.0,2000.0,2447,99.3
2026-05-10 23:06:23,2,Panamtrading,Banesco,657.0,3300000.0,32900000.0,89989.07,250,98.1
2026-05-10 23:06:23,2,Manda2-,Banesco,657.0,5000000.0,1400000000.0,74119.87,878,99.4
2026-05-10 23:06:23,2,tovir2572,"Bank Transfer, Banco de Venezuela",657.0,2000000.0,9000000.0,9359.05,2735,99.8
2026-05-10 23:06:25,3,TioRico699,Mercantil,657.0,3300000.0,50000000.0,45525.8,7985,99.6
2026-05-10 23:06:25,3,何塞 路易斯 坩埚,"Provincial, BBVA",657.0,3300000.0,50000000.0,50039.07,675,99.9
2026-05-10 23:06:25,3,Elloro2301,Bank Transfer,657.0,1000000.0,2000000.0,3050.0,406,97.4
2026-05-10 23:06:25,3,InversionesJZ,"Bank Transfer, Banco de Venezuela",657.0,100000.0,10000000.0,184.95,2763,99.8
2026-05-10 23:06:25,3,Inversiones-Walaw,Bancamiga,657.0,20000.0,2000000.0,154.25,6546,100.0
2026-05-10 23:06:25,3,1PIECE-BLESS,"Banesco, Mercantil, BNC Banco Nacional de Crédito",657.0,6000.0,16000.0,52.75,3218,99.9
2026-05-10 23:06:25,3,StartBusiness,"Bank Transfer, Banco de Venezuela",657.0,700000.0,1138100.0,1732.33,9926,99.7
2026-05-10 23:06:25,3,TokenSwift,Banesco,657.0,500000.0,1900000.0,1633.75,4390,99.6
